	phenotype
0	I
1	I
2	I
3	E
4	I
5	I
6	I
7	E
8	E
9	I
10	E
11	I
12	I
13	I
14	E
15	E
16	I
17	E
18	I
19	I
20	P
21	Exh
22	I
23	I
24	E
25	Exh
26	I
27	I
28	E
29	P
30	E
31	I
32	I
33	I
34	I
35	E
36	I
37	P
38	I
39	E
40	I
41	I
42	I
43	E
44	I
45	P
46	I
47	E
48	I
49	I
50	E
51	I
52	E
53	I
54	P
55	I
56	I
57	E
58	E
59	E
60	I
61	E
62	E
63	I
64	I
65	E
66	I
67	E
68	I
69	Exh
70	I
71	E
72	E
73	E
74	I
75	P
76	M
77	I
78	Exh
79	E
80	I
81	E
82	E
83	M
84	E
85	I
86	E
87	E
88	I
89	I
90	Exh
91	I
92	Exh
93	P
94	I
95	I
96	E
97	E
98	I
99	P
100	I
101	E
102	P
103	P
104	E
105	I
106	I
107	I
108	E
109	I
110	I
111	P
112	E
113	I
114	E
115	P
116	I
117	P
118	E
119	I
120	I
121	E
122	E
123	I
124	I
125	E
126	E
127	I
128	I
129	I
130	Exh
131	I
132	I
133	I
134	I
135	I
136	E
137	E
138	I
139	I
140	I
141	I
142	I
143	I
144	I
145	I
146	I
147	I
148	I
149	I
150	I
151	I
152	I
153	I
154	Exh
155	I
156	E
157	I
158	M
159	I
160	P
161	I
162	I
163	P
164	E
165	P
166	E
167	E
168	E
169	I
170	I
171	I
172	M
173	I
174	E
175	E
176	I
177	E
178	I
179	E
180	I
181	Exh
182	I
183	P
184	I
185	E
186	I
187	E
188	I
189	E
190	I
191	P
192	I
193	I
194	E
195	E
196	M
197	Exh
198	I
199	E
200	P
201	M
202	E
203	I
204	I
205	I
206	I
207	I
208	M
209	E
210	I
211	E
212	I
213	I
214	I
215	I
216	E
217	I
218	I
219	I
220	I
221	I
222	E
223	I
224	I
225	I
226	I
227	Exh
228	I
229	I
230	P
231	I
232	E
233	I
234	I
235	E
236	I
237	E
238	I
239	I
240	I
241	E
242	I
243	E
244	I
245	E
246	I
247	I
248	E
249	E
250	P
251	I
252	I
253	I
254	E
255	E
256	I
257	I
258	I
259	I
260	I
261	E
262	E
263	I
264	E
265	I
266	I
267	I
268	I
269	I
270	I
271	I
272	I
273	I
274	E
275	E
276	P
277	E
278	I
279	P
280	E
281	I
282	E
283	I
284	E
285	I
286	E
287	I
288	I
289	I
290	I
291	I
292	E
293	P
294	E
295	I
296	I
297	I
298	E
299	I
300	E
301	P
302	P
