	correlation	abs_correlation	p_value
Malat1	0.8156163146891467	0.8156163146891467	0.0
Rps2	-0.7389473253830079	0.7389473253830079	0.0
Cd3g	0.6783218708586324	0.6783218708586324	0.0
2810417H13Rik	-0.6132926440096267	0.6132926440096267	0.0
Birc5	-0.5829889746083042	0.5829889746083042	0.0
Ybx1	-0.576375405454316	0.576375405454316	0.0
Dut	-0.5729396943989505	0.5729396943989505	0.0
Ddx39	-0.5704236639804703	0.5704236639804703	0.0
Anp32b	-0.5669207529073745	0.5669207529073745	0.0
Lyar	-0.5561022589830535	0.5561022589830535	0.0
