	B	B	B	MP	MP	MP	NK	NK	NK
	p	logFC	p_adj	p	logFC	p_adj	p	logFC	p_adj
AC145212.1									
AC233755.2									
HES4									
TNFRSF18									
TNFRSF4									
MORN1									
MEGF6									
AL513320.1									
TNFRSF25									
UTS2									
AL139423.2									
MASP2									
DHRS3									
AC254633.1									
AL031283.2									
ID3									
CNR2									
RCAN3AS									
NCMAP-DT									
RUNX3									
ZNF683									
AL512408.1									
FGR									
IFI6									
ADGRB2									
SPOCD1									
TMEM234									
MARCKSL1									
FAM229A									
CLSPN									
AL139286.3									
AL603839.2									
AL139289.2									
TMEM275									
PDZK1IP1									
TAL1									
FOXD2-AS1									
TTC39A									
TUT4									
SLC1A7									
CDCP2									
TTC22									
DAB1									
JUN									
AL136985.1									
AC099791.2									
GNG12									
AC135803.1									
NEXN-AS1									
AC103591.3									
AC116099.1									
TTLL7									
AL359504.2									
AC092807.2									
AL121989.1									
GBP1									
GBP2									
GBP4									
GBP5									
AL596214.1									
TGFBR3									
GFI1									
AC118469.2									
AC092802.1									
AMIGO1									
GNAT2									
ALX3									
LINC02586									
AL355816.1									
DENND2D									
AL390195.2									
AL354760.1									
RHOC									
PTPN22									
BCL2L15									
AL365318.1									
IGSF3									
TRIM45									
ADAM30									
AC253572.2									
AC244453.3									
AL592494.1									
LINC00624									
OTUD7B									
CTSS									
THEM4									
S100A11									
TCHH									
FLG									
S100A12									
S100A8									
S100A4									
AL513523.4									
AL592078.2									
KCNN3									
PBXIP1									
DCST2									
MUC1									
THBS3									
C1orf61									
AL365181.2									
SH2D2A									
FCRL5									
FCRL3									
FCRL2									
FCRL1									
LINC01704									
AL121987.2									
TSTD1									
FCGR3A									
FCGR3B									
SH2D1B									
AL596325.1									
GPA33									
CD247									
GPR161									
XCL2									
CCDC181									
SELP									
AL137157.1									
TNFSF4									
AL162431.1									
GLUL									
NCF2									
COLGALT2									
AL445228.2									
AL713852.1									
PDC									
AL450352.1									
ATP6V1G3									
AL157402.1									
LINC01222									
MYOG									
CHI3L1									
GOLT1A									
LRRN2									
C1orf147									
FCMR									
AL034351.3									
USH2A									
AL356108.1									
HHIPL2									
CAPN8									
ENAH									
