	factor_1	factor_2	factor_3
AC145212.1	0.0	0.0	0.0
AC233755.2	0.0	0.0	0.0
HES4	0.0	0.0	0.0
TNFRSF18	0.0	0.0	0.0
TNFRSF4	0.0	0.0	0.0
MORN1	0.0	0.0	0.0
MEGF6	0.0	0.0	0.0
AL513320.1	0.0	0.0	0.0
TNFRSF25	0.0	0.0	0.0
UTS2	0.0	0.0	0.0
AL139423.2	0.0	0.0	0.0
MASP2	0.0	0.0	0.0
DHRS3	0.0	0.0	0.0
AC254633.1	0.0	0.0	0.0
AL031283.2	0.0	0.0	0.0
ID3	0.0	0.0	0.0
CNR2	0.0	0.0	0.0
RCAN3AS	0.0	0.0	0.0
NCMAP-DT	0.0	0.0	0.0
RUNX3	0.0	0.0	0.0
ZNF683	0.0	0.0	0.0
AL512408.1	0.0	0.0	0.0
FGR	0.0	0.0	0.0
IFI6	0.0	0.0	0.0
ADGRB2	0.0	0.0	0.0
SPOCD1	0.0	0.0	0.0
TMEM234	0.0	0.0	0.0
MARCKSL1	0.0	0.0	0.0
FAM229A	0.0	0.0	0.0
CLSPN	0.0	0.0	0.0
AL139286.3	0.0	0.0	0.0
AL603839.2	0.0	0.0	0.0
AL139289.2	0.0	0.0	0.0
TMEM275	0.0	0.0	0.0
PDZK1IP1	0.0	0.0	0.0
TAL1	0.0	0.0	0.0
FOXD2-AS1	0.0	0.0	0.0
TTC39A	0.0	0.0	0.0
TUT4	0.0	0.0	0.0
SLC1A7	0.0	0.0	0.0
CDCP2	0.0	0.0	0.0
TTC22	0.0	0.0	0.0
DAB1	0.0	0.0	0.0
JUN	0.0	0.0	0.0
AL136985.1	0.0	0.0	0.0
AC099791.2	0.0	0.0	0.0
GNG12	0.0	0.0	0.0
AC135803.1	0.0	0.0	0.0
NEXN-AS1	0.0	0.0	0.0
AC103591.3	0.0	0.0	0.0
AC116099.1	0.0	0.0	0.0
TTLL7	0.0	0.0	0.0
AL359504.2	0.0	0.0	0.0
AC092807.2	0.0	0.0	0.0
AL121989.1	0.0	0.0	0.0
GBP1	0.0	0.0	0.0
GBP2	0.0	0.0	0.0
GBP4	0.0	0.0	0.0
GBP5	0.0	0.0	0.0
AL596214.1	0.0	0.0	0.0
TGFBR3	0.0	0.0	0.0
GFI1	0.0	0.0	0.0
AC118469.2	0.0	0.0	0.0
AC092802.1	0.0	0.0	0.0
AMIGO1	0.0	0.0	0.0
GNAT2	0.0	0.0	0.0
ALX3	0.0	0.0	0.0
LINC02586	0.0	0.0	0.0
AL355816.1	0.0	0.0	0.0
DENND2D	0.0	0.0	0.0
AL390195.2	0.0	0.0	0.0
AL354760.1	0.0	0.0	0.0
RHOC	0.0	0.0	0.0
PTPN22	0.0	0.0	0.0
BCL2L15	0.0	0.0	0.0
AL365318.1	0.0	0.0	0.0
IGSF3	0.0	0.0	0.0
TRIM45	0.0	0.0	0.0
ADAM30	0.0	0.0	0.0
AC253572.2	0.0	0.0	0.0
AC244453.3	0.0	0.0	0.0
AL592494.1	0.0	0.0	0.0
LINC00624	0.0	0.0	0.0
OTUD7B	0.0	0.0	0.0
CTSS	0.0	0.0	0.0
THEM4	0.0	0.0	0.0
S100A11	0.0	0.0	0.0
TCHH	0.0	0.0	0.0
FLG	0.0	0.0	0.0
S100A12	0.0	0.0	0.0
S100A8	0.0	0.0	0.0
S100A4	0.0	0.0	0.0
AL513523.4	0.0	0.0	0.0
AL592078.2	0.0	0.0	0.0
KCNN3	0.0	0.0	0.0
PBXIP1	0.0	0.0	0.0
DCST2	0.0	0.0	0.0
MUC1	0.0	0.0	0.0
THBS3	0.0	0.0	0.0
C1orf61	0.0	0.0	0.0
AL365181.2	0.0	0.0	0.0
SH2D2A	0.0	0.0	0.0
FCRL5	0.0	0.0	0.0
FCRL3	0.0	0.0	0.0
FCRL2	0.0	0.0	0.0
FCRL1	0.0	0.0	0.0
LINC01704	0.0	0.0	0.0
AL121987.2	0.0	0.0	0.0
TSTD1	0.0	0.0	0.0
FCGR3A	0.0	0.0	0.0
FCGR3B	0.0	0.0	0.0
SH2D1B	0.0	0.0	0.0
AL596325.1	0.0	0.0	0.0
GPA33	0.0	0.0	0.0
CD247	0.0	0.0	0.0
GPR161	0.0	0.0	0.0
XCL2	0.0	0.0	0.0
CCDC181	0.0	0.0	0.0
SELP	0.0	0.0	0.0
AL137157.1	0.0	0.0	0.0
TNFSF4	0.0	0.0	0.0
AL162431.1	0.0	0.0	0.0
GLUL	0.0	0.0	0.0
NCF2	0.0	0.0	0.0
COLGALT2	0.0	0.0	0.0
AL445228.2	0.0	0.0	0.0
AL713852.1	0.0	0.0	0.0
PDC	0.0	0.0	0.0
AL450352.1	0.0	0.0	0.0
ATP6V1G3	0.0	0.0	0.0
AL157402.1	0.0	0.0	0.0
LINC01222	0.0	0.0	0.0
MYOG	0.0	0.0	0.0
CHI3L1	0.0	0.0	0.0
GOLT1A	0.0	0.0	0.0
LRRN2	0.0	0.0	0.0
C1orf147	0.0	0.0	0.0
FCMR	0.0	0.0	0.0
AL034351.3	0.0	0.0	0.0
USH2A	0.0	0.0	0.0
AL356108.1	0.0	0.0	0.0
HHIPL2	0.0	0.0	0.0
CAPN8	0.0	0.0	0.0
ENAH	0.0	0.0	0.0
WNT9A	0.0	0.0	0.0
PCNX2	0.0	0.0	0.0
AL391832.4	0.0	0.0	0.0
LYST	0.0	0.0	0.0
AL359921.2	0.0	0.0	0.0
AL359921.1	0.0	0.0	0.0
CHRM3-AS2	0.0	0.0	0.0
RGS7	0.0	0.0	0.0
AL451007.3	0.0	0.0	0.0
ISG15	0.0	0.0	0.0
LINC01342	0.0	0.0	0.0
TTLL10	0.0	0.0	0.0
SCNN1D	0.0	0.0	0.0
FO704657.1	0.0	0.0	0.0
PLCH2	0.0	0.0	0.0
PRDM16	0.0	0.0	0.0
ARHGEF16	0.0	0.0	0.0
TP73	0.0	0.0	0.0
AJAP1	0.0	0.0	0.0
AL031848.2	0.0	0.0	0.0
SLC45A1	0.0	0.0	0.0
RBP7	0.0	0.0	0.0
PGD	0.0	0.0	0.0
AL139423.1	0.0	0.0	0.0
AL031731.1	0.0	0.0	0.0
TNFRSF1B	0.0	0.0	0.0
